INSERT INTO AllData (id_maquina, data, estado, temperature, humidity, voltage, current, power) VALUES
('Machine_1','2025-04-05 14:00:00','OK',38.40,48.21,233.92,5.40,1195.73),
('Machine_1','2025-04-05 14:04:00','OK',51.27,52.34,223.64,6.23,2191.43),
('Machine_1','2025-04-05 14:08:00','OK',26.05,59.25,227.34,5.20,622.69),
('Machine_1','2025-04-05 14:12:00','OK',23.89,57.52,239.53,9.75,665.47),
('Machine_1','2025-04-05 14:16:00','OK',40.34,31.78,239.54,8.85,979.19),
('Machine_1','2025-04-05 14:20:00','OK',47.05,35.18,222.69,8.26,1582.03),
('Machine_1','2025-04-05 14:24:00','OK',39.83,30.15,220.57,6.55,1347.94),
('Machine_1','2025-04-05 14:28:00','OK',47.42,34.55,225.94,6.90,1757.29),
('Machine_1','2025-04-05 14:32:00','OK',23.13,36.19,216.75,9.59,2317.64),
('Machine_1','2025-04-05 14:36:00','OK',57.57,32.97,237.01,9.25,1835.12),
('Machine_1','2025-04-05 14:40:00','OK',34.75,43.55,228.80,7.50,867.39),
('Machine_1','2025-04-05 14:44:00','Not OK',52.44,84.19,199.56,9.73,4327.57),
('Machine_1','2025-04-05 14:48:00','OK',59.20,54.41,218.30,9.86,1783.72),
('Machine_1','2025-04-05 14:52:00','OK',48.35,33.00,233.74,9.40,1645.86),
('Machine_1','2025-04-05 14:56:00','OK',30.37,52.88,228.39,9.31,1515.97),
('Machine_1','2025-04-05 15:00:00','OK',59.59,56.82,228.59,5.67,1929.26),
('Machine_1','2025-04-05 15:04:00','OK',24.14,34.00,234.39,5.63,1945.43),
('Machine_1','2025-04-05 15:08:00','OK',31.49,47.05,213.94,8.46,992.69),
('Machine_1','2025-04-05 15:12:00','OK',52.57,36.78,225.80,5.66,2152.12),
('Machine_1','2025-04-05 15:16:00','OK',38.23,33.34,224.08,6.34,1363.28),
('Machine_1','2025-04-05 15:20:00','OK',30.49,53.36,220.58,7.78,1585.80),
('Machine_1','2025-04-05 15:24:00','OK',42.54,56.50,225.26,8.31,1354.54),
('Machine_1','2025-04-05 15:28:00','OK',33.00,47.67,212.66,8.38,1938.80),
('Machine_1','2025-04-05 15:32:00','OK',36.33,59.75,210.44,9.48,577.19),
('Machine_1','2025-04-05 15:36:00','OK',55.55,56.54,239.25,9.16,1588.92),
('Machine_1','2025-04-05 15:40:00','OK',40.04,51.30,239.92,9.77,2375.21),
('Machine_1','2025-04-05 15:44:00','OK',33.68,45.11,219.16,6.38,794.55),
('Machine_1','2025-04-05 15:48:00','Not OK',46.99,58.59,195.63,5.14,695.00),
('Machine_1','2025-04-05 15:52:00','OK',48.13,46.46,236.85,5.97,2023.17),
('Machine_1','2025-04-05 15:56:00','OK',50.82,43.80,214.76,8.74,552.92),
('Machine_1','2025-04-05 16:00:00','Not OK',86.38,32.97,235.49,8.30,3938.23),
('Machine_1','2025-04-05 16:04:00','OK',27.81,56.92,225.62,9.57,1076.40),
('Machine_1','2025-04-05 16:08:00','OK',34.93,59.52,232.30,6.86,1594.14),
('Machine_1','2025-04-05 16:12:00','Not OK',63.19,56.43,216.74,19.25,4001.52),
('Machine_1','2025-04-05 16:16:00','OK',30.36,36.20,215.04,6.98,1642.07),
('Machine_1','2025-04-05 16:20:00','OK',26.51,34.20,237.58,5.23,1784.97),
('Machine_1','2025-04-05 16:24:00','OK',44.79,56.89,229.39,5.08,2451.33),
('Machine_1','2025-04-05 16:28:00','OK',53.54,43.40,229.83,8.30,2245.92),
('Machine_1','2025-04-05 16:32:00','OK',25.69,53.96,226.86,9.40,2074.59),
('Machine_1','2025-04-05 16:36:00','OK',48.24,30.20,227.96,5.08,1117.28),
('Machine_1','2025-04-05 16:40:00','OK',33.26,32.56,235.85,6.89,796.67),
('Machine_1','2025-04-05 16:44:00','Not OK',29.95,49.43,191.21,7.87,700.25),
('Machine_1','2025-04-05 16:48:00','OK',45.43,49.15,212.75,9.72,715.69),
('Machine_1','2025-04-05 16:52:00','Not OK',85.66,51.83,222.38,6.89,3774.82),
('Machine_1','2025-04-05 16:56:00','Not OK',85.42,57.49,220.29,17.64,4051.61),
('Machine_1','2025-04-05 17:00:00','OK',45.36,40.79,217.91,7.47,828.62),
('Machine_1','2025-04-05 17:04:00','Not OK',77.88,50.38,230.20,5.18,4620.23),
('Machine_1','2025-04-05 17:08:00','Not OK',39.19,85.24,198.80,5.77,4418.85),
('Machine_1','2025-04-05 17:12:00','Not OK',47.71,37.74,194.24,5.59,709.49),
('Machine_1','2025-04-05 17:16:00','OK',26.50,38.15,235.06,8.54,931.65),
('Machine_1','2025-04-05 17:20:00','OK',30.53,41.12,238.25,6.40,1283.63),
('Machine_1','2025-04-05 17:24:00','OK',45.38,48.17,220.09,5.61,1112.41),
('Machine_1','2025-04-05 17:28:00','OK',28.08,41.46,237.81,7.12,875.36),
('Machine_1','2025-04-05 17:32:00','OK',22.38,46.04,232.11,5.06,2324.51),
('Machine_1','2025-04-05 17:36:00','Not OK',84.85,37.55,225.55,8.59,4931.42),
('Machine_1','2025-04-05 17:40:00','OK',53.08,38.72,226.92,6.82,1169.04),
('Machine_1','2025-04-05 17:44:00','OK',31.97,36.26,230.20,8.22,654.40),
('Machine_1','2025-04-05 17:48:00','OK',45.06,55.00,217.40,9.95,2269.21),
('Machine_1','2025-04-05 17:52:00','OK',34.15,47.95,222.99,9.67,802.52),
('Machine_1','2025-04-05 17:56:00','OK',39.65,59.01,221.63,9.73,1011.46),
('Machine_1','2025-04-05 18:00:00','OK',57.90,51.89,214.86,6.64,2107.17),
('Machine_1','2025-04-05 18:04:00','OK',35.14,51.44,229.79,7.60,2317.59),
('Machine_1','2025-04-05 18:08:00','Not OK',69.51,41.32,216.51,16.08,4342.43),
('Machine_1','2025-04-05 18:12:00','OK',58.36,45.40,216.88,7.78,1230.53),
('Machine_1','2025-04-05 18:16:00','Not OK',62.56,40.65,217.02,16.26,3989.22),
('Machine_1','2025-04-05 18:20:00','OK',34.08,32.29,224.34,5.92,1606.96),
('Machine_1','2025-04-05 18:24:00','OK',33.73,33.67,217.57,6.43,2024.71),
('Machine_1','2025-04-05 18:28:00','Not OK',61.25,51.89,229.33,19.56,3785.08),
('Machine_1','2025-04-05 18:32:00','OK',54.99,43.62,230.61,9.63,2409.49),
('Machine_1','2025-04-05 18:36:00','OK',31.60,34.14,220.07,6.23,2131.15),
('Machine_1','2025-04-05 18:40:00','OK',57.90,53.53,224.73,8.71,1343.38),
('Machine_1','2025-04-05 18:44:00','Not OK',79.16,39.06,239.08,19.67,4288.15),
('Machine_1','2025-04-05 18:48:00','OK',37.60,38.11,213.16,5.86,1496.65),
('Machine_1','2025-04-05 18:52:00','OK',31.68,43.35,221.25,8.95,2467.01),
('Machine_1','2025-04-05 18:56:00','OK',30.40,46.73,213.82,9.99,902.99),
('Machine_1','2025-04-05 19:00:00','OK',37.30,42.38,230.23,6.01,719.92),
('Machine_1','2025-04-05 19:04:00','OK',33.01,42.37,238.95,9.77,1905.37),
('Machine_1','2025-04-05 19:08:00','Not OK',35.42,82.25,193.12,7.24,3793.74),
('Machine_1','2025-04-05 19:12:00','OK',26.03,51.85,215.84,9.44,1398.04),
('Machine_1','2025-04-05 19:16:00','OK',51.10,57.83,225.80,7.36,1074.61),
('Machine_1','2025-04-05 19:20:00','OK',22.72,52.01,216.52,8.30,1645.21),
('Machine_1','2025-04-05 19:24:00','Not OK',48.33,45.32,191.69,5.82,770.53),
('Machine_1','2025-04-05 19:28:00','OK',56.95,51.40,218.92,5.00,597.03),
('Machine_1','2025-04-05 19:32:00','Not OK',80.85,36.25,230.38,18.54,3924.68),
('Machine_1','2025-04-05 19:36:00','Not OK',46.60,47.40,192.63,5.44,672.93),
('Machine_1','2025-04-05 19:40:00','OK',48.80,46.03,216.07,8.84,2177.90),
('Machine_1','2025-04-05 19:44:00','OK',33.75,32.78,235.44,7.60,1700.16),
('Machine_1','2025-04-05 19:48:00','OK',58.14,33.12,227.25,7.10,824.20),
('Machine_1','2025-04-05 19:52:00','OK',44.39,33.37,222.30,9.11,1665.77),
('Machine_1','2025-04-05 19:56:00','Not OK',89.71,31.59,224.71,9.19,3851.52),
('Machine_1','2025-04-05 20:00:00','OK',49.39,37.69,219.22,7.36,2445.12),
('Machine_1','2025-04-05 20:04:00','OK',52.15,49.34,229.19,8.87,1215.19),
('Machine_1','2025-04-05 20:08:00','OK',36.43,47.96,238.82,8.68,2138.20),
('Machine_1','2025-04-05 20:12:00','OK',22.48,43.02,211.09,5.73,1264.26),
('Machine_1','2025-04-05 20:16:00','OK',42.58,31.60,214.65,5.81,2244.32),
('Machine_1','2025-04-05 20:20:00','OK',37.47,57.28,210.52,7.77,2363.95),
('Machine_1','2025-04-05 20:24:00','Not OK',40.60,80.33,199.34,5.61,3835.87),
('Machine_1','2025-04-05 20:28:00','OK',32.81,40.27,219.63,6.62,850.19),
('Machine_1','2025-04-05 20:32:00','OK',35.24,44.31,226.55,6.98,571.08),
('Machine_1','2025-04-05 20:36:00','OK',49.90,37.92,236.76,7.52,1282.40),
('Machine_1','2025-04-05 20:40:00','OK',38.57,35.71,230.44,5.85,1189.17),
('Machine_1','2025-04-05 20:44:00','OK',20.78,30.35,239.74,8.27,953.74),
('Machine_1','2025-04-05 20:48:00','OK',35.17,34.77,239.69,6.60,1077.78),
('Machine_1','2025-04-05 20:52:00','OK',47.19,59.66,213.17,8.11,2200.12),
('Machine_1','2025-04-05 20:56:00','Not OK',76.83,43.47,218.45,18.58,4300.56),
('Machine_1','2025-04-05 21:00:00','OK',23.03,56.67,221.14,5.20,723.04),
('Machine_1','2025-04-05 21:04:00','Not OK',74.00,45.73,235.66,17.28,3901.23),
('Machine_1','2025-04-05 21:08:00','OK',47.65,50.93,215.98,5.08,1131.62),
('Machine_1','2025-04-05 21:12:00','OK',45.79,38.42,226.82,9.21,2440.65),
('Machine_1','2025-04-05 21:16:00','OK',34.40,35.71,218.27,7.19,2403.67),
('Machine_1','2025-04-05 21:20:00','OK',34.02,45.95,234.27,8.59,1348.31),
('Machine_1','2025-04-05 21:24:00','OK',44.59,38.22,227.88,5.46,737.04),
('Machine_1','2025-04-05 21:28:00','OK',49.82,32.56,213.56,6.22,1957.44),
('Machine_1','2025-04-05 21:32:00','OK',44.82,45.71,238.68,8.90,1943.01),
('Machine_1','2025-04-05 21:36:00','OK',36.40,55.65,217.69,5.79,1482.92),
('Machine_1','2025-04-05 21:40:00','OK',38.83,31.02,213.57,9.68,1803.94),
('Machine_1','2025-04-05 21:44:00','OK',54.06,52.01,225.84,9.32,1028.24),
('Machine_1','2025-04-05 21:48:00','Not OK',86.61,55.83,230.63,16.27,3899.64),
('Machine_1','2025-04-05 21:52:00','OK',23.24,51.54,236.19,7.04,594.98),
('Machine_1','2025-04-05 21:56:00','OK',52.48,39.62,224.26,5.95,1683.97),
('Machine_1','2025-04-05 22:00:00','OK',28.87,45.48,217.17,7.09,1747.00),
('Machine_1','2025-04-05 22:04:00','OK',50.09,52.65,236.03,8.94,607.02),
('Machine_1','2025-04-05 22:08:00','OK',51.95,38.23,226.32,8.62,2445.29),
('Machine_1','2025-04-05 22:12:00','Not OK',52.75,43.38,191.66,7.23,770.38),
('Machine_1','2025-04-05 22:16:00','OK',46.06,31.17,233.56,8.12,1177.85),
('Machine_1','2025-04-05 22:20:00','OK',38.29,57.04,211.01,9.54,1418.24),
('Machine_1','2025-04-05 22:24:00','Not OK',59.10,57.64,193.58,9.05,502.69),
('Machine_1','2025-04-05 22:28:00','OK',22.31,44.26,231.35,7.64,904.87),
('Machine_1','2025-04-05 22:32:00','Not OK',21.17,81.07,194.80,6.52,4158.43),
('Machine_1','2025-04-05 22:36:00','Not OK',27.06,41.35,190.75,7.52,681.55),
('Machine_1','2025-04-05 22:40:00','OK',22.89,49.15,230.83,5.83,2312.78),
('Machine_1','2025-04-05 22:44:00','OK',40.91,34.85,216.76,9.68,1863.12),
('Machine_1','2025-04-05 22:48:00','Not OK',46.55,52.26,190.32,5.34,738.40),
('Machine_1','2025-04-05 22:52:00','OK',25.13,51.62,231.12,9.71,1363.76),
('Machine_1','2025-04-05 22:56:00','OK',27.68,54.01,220.19,6.54,1965.71),
('Machine_1','2025-04-05 23:00:00','OK',20.30,40.02,214.10,5.41,2441.32),
('Machine_1','2025-04-05 23:04:00','OK',52.85,53.34,231.32,7.29,2170.90),
('Machine_1','2025-04-05 23:08:00','OK',37.05,45.62,234.22,9.71,2293.31),
('Machine_1','2025-04-05 23:12:00','OK',43.42,43.18,233.44,5.18,612.91),
('Machine_1','2025-04-05 23:16:00','OK',52.86,54.98,224.91,6.09,2039.15),
