id_maquina,data,estado,temperature,humidity,voltage,current,power
Machine_1,2025-04-05 14:00:00,OK,52.93,58.44,236.50,8.55,1400.71
Machine_1,2025-04-05 14:04:00,OK,27.20,37.77,236.50,6.54,845.54
Machine_1,2025-04-05 14:08:00,OK,44.51,55.14,237.98,6.19,1070.78
Machine_1,2025-04-05 14:12:00,Not OK,39.71,39.55,246.84,11.85,113.21
Machine_1,2025-04-05 14:16:00,Not OK,8.52,14.82,212.35,6.11,1192.95
Machine_1,2025-04-05 14:20:00,OK,42.61,31.03,227.18,9.54,2338.50
Machine_1,2025-04-05 14:24:00,Not OK,22.48,43.04,229.09,18.69,165.12
Machine_1,2025-04-05 14:28:00,OK,34.81,36.17,215.29,8.50,1558.72
Machine_1,2025-04-05 14:32:00,OK,43.95,38.83,230.14,6.40,712.92
Machine_1,2025-04-05 14:36:00,Not OK,5.28,85.86,250.19,9.76,957.28
Machine_1,2025-04-05 14:40:00,Not OK,81.86,80.37,230.96,8.65,180.38
Machine_1,2025-04-05 14:44:00,OK,59.16,32.69,229.39,7.40,1259.80
Machine_1,2025-04-05 14:48:00,OK,36.73,30.10,212.21,8.82,2330.13
Machine_1,2025-04-05 14:52:00,OK,26.99,40.05,231.52,5.48,2295.42
Machine_1,2025-04-05 14:56:00,OK,37.44,42.15,232.09,6.56,2043.93
Machine_1,2025-04-05 15:00:00,OK,40.26,51.05,237.44,9.23,866.84
Machine_1,2025-04-05 15:04:00,OK,30.16,40.15,237.90,5.64,1485.85
Machine_1,2025-04-05 15:08:00,Not OK,51.72,54.51,220.59,11.81,396.70
Machine_1,2025-04-05 15:12:00,OK,40.47,30.46,236.92,5.97,1316.27
Machine_1,2025-04-05 15:16:00,OK,28.31,51.09,220.64,8.56,1906.45
Machine_1,2025-04-05 15:20:00,Not OK,46.63,51.52,200.80,6.52,2488.34
Machine_1,2025-04-05 15:24:00,Not OK,23.97,58.58,218.70,3.41,3787.24
Machine_1,2025-04-05 15:28:00,Not OK,54.68,98.98,238.67,2.04,990.23
Machine_1,2025-04-05 15:32:00,OK,31.87,31.06,222.65,8.65,614.79
Machine_1,2025-04-05 15:36:00,OK,58.28,35.69,211.95,6.57,2307.11
Machine_1,2025-04-05 15:40:00,Not OK,20.48,48.12,218.90,8.69,4574.34
Machine_1,2025-04-05 15:44:00,Not OK,58.70,59.38,250.48,7.22,2055.30
Machine_1,2025-04-05 15:48:00,OK,29.29,48.31,227.64,7.73,2397.23
Machine_1,2025-04-05 15:52:00,OK,45.51,31.17,225.95,5.33,1293.61
Machine_1,2025-04-05 15:56:00,OK,27.36,33.98,211.41,5.84,1783.46
Machine_1,2025-04-05 16:00:00,Not OK,22.36,38.68,211.31,6.95,3695.32
Machine_1,2025-04-05 16:04:00,Not OK,34.43,59.95,228.78,16.40,702.14
Machine_1,2025-04-05 16:08:00,OK,57.78,37.28,216.16,9.31,756.32
Machine_1,2025-04-05 16:12:00,OK,57.90,33.23,232.93,7.90,1114.88
Machine_1,2025-04-05 16:16:00,Not OK,59.80,34.67,182.89,7.86,988.66
Machine_1,2025-04-05 16:20:00,Not OK,77.46,84.86,253.47,6.75,2205.98
Machine_1,2025-04-05 16:24:00,OK,20.75,57.92,225.28,8.77,1699.57
Machine_1,2025-04-05 16:28:00,Not OK,41.96,58.52,239.39,2.55,2266.90
Machine_1,2025-04-05 16:32:00,OK,43.22,36.79,231.52,5.18,1674.89
Machine_1,2025-04-05 16:36:00,Not OK,55.55,58.82,222.73,7.12,4622.30
Machine_1,2025-04-05 16:40:00,Not OK,35.34,96.07,212.16,9.42,3926.40
Machine_1,2025-04-05 16:44:00,Not OK,87.34,31.47,227.56,5.18,1444.16
Machine_1,2025-04-05 16:48:00,Not OK,11.00,35.77,215.62,8.15,507.26
Machine_1,2025-04-05 16:52:00,OK,39.92,37.54,219.19,9.08,2049.43
Machine_1,2025-04-05 16:56:00,OK,48.58,39.50,235.90,8.07,1259.41
Machine_1,2025-04-05 17:00:00,Not OK,53.63,50.19,232.29,9.11,393.57
Machine_1,2025-04-05 17:04:00,OK,21.33,47.83,214.22,7.93,2264.07
Machine_1,2025-04-05 17:08:00,Not OK,56.72,31.29,220.95,2.16,2147.99
Machine_1,2025-04-05 17:12:00,OK,31.82,44.10,238.76,7.45,1568.89
Machine_1,2025-04-05 17:16:00,OK,47.71,45.29,220.05,8.69,2094.51
Machine_1,2025-04-05 17:20:00,OK,59.28,32.85,220.50,5.76,2463.85
Machine_1,2025-04-05 17:24:00,Not OK,78.18,56.96,233.57,5.28,2036.86
Machine_1,2025-04-05 17:28:00,Not OK,60.66,54.04,222.81,9.88,1591.29
Machine_1,2025-04-05 17:32:00,OK,21.34,52.81,239.49,8.58,1013.99
Machine_1,2025-04-05 17:36:00,OK,40.23,54.20,214.94,9.69,1433.75
Machine_1,2025-04-05 17:40:00,Not OK,44.19,53.92,246.16,8.26,2412.55
Machine_1,2025-04-05 17:44:00,Not OK,55.24,58.82,228.40,2.66,2155.53
Machine_1,2025-04-05 17:48:00,Not OK,11.01,36.28,232.96,8.13,1294.63
Machine_1,2025-04-05 17:52:00,Not OK,29.79,42.41,259.07,7.09,183.73
Machine_1,2025-04-05 17:56:00,OK,28.42,39.30,221.90,8.40,677.14
Machine_1,2025-04-05 18:00:00,OK,34.82,47.69,233.83,8.99,2477.28
Machine_1,2025-04-05 18:04:00,OK,50.15,54.89,214.36,9.10,1304.18
Machine_1,2025-04-05 18:08:00,Not OK,65.08,44.43,217.71,19.95,1890.58
Machine_1,2025-04-05 18:12:00,Not OK,9.55,50.62,238.61,8.44,1573.70
Machine_1,2025-04-05 18:16:00,Not OK,5.00,23.55,212.53,7.12,2219.05
Machine_1,2025-04-05 18:20:00,OK,31.19,50.90,215.62,7.97,1032.48
Machine_1,2025-04-05 18:24:00,OK,26.50,54.26,218.04,6.52,637.97
Machine_1,2025-04-05 18:28:00,OK,51.41,45.43,239.91,8.29,2076.41
Machine_1,2025-04-05 18:32:00,OK,48.02,59.30,230.08,8.06,1646.15
Machine_1,2025-04-05 18:36:00,OK,35.19,55.68,219.76,8.86,1525.63
Machine_1,2025-04-05 18:40:00,Not OK,62.38,21.38,228.78,15.21,1566.69
Machine_1,2025-04-05 18:44:00,OK,44.87,49.57,227.98,8.06,1711.99
Machine_1,2025-04-05 18:48:00,OK,38.61,38.63,224.58,6.27,2109.56
Machine_1,2025-04-05 18:52:00,OK,31.00,41.44,222.48,6.34,1926.06
Machine_1,2025-04-05 18:56:00,OK,35.42,38.88,233.90,5.59,833.70
Machine_1,2025-04-05 19:00:00,OK,52.54,50.38,236.58,5.41,1660.51
Machine_1,2025-04-05 19:04:00,OK,53.36,51.59,219.01,9.91,714.32
Machine_1,2025-04-05 19:08:00,OK,30.17,35.74,227.72,6.10,1265.02
Machine_1,2025-04-05 19:12:00,Not OK,55.33,98.45,211.25,9.37,1154.62
Machine_1,2025-04-05 19:16:00,OK,22.26,50.11,221.19,5.87,1979.36
Machine_1,2025-04-05 19:20:00,Not OK,38.25,30.78,259.25,6.55,2419.95
Machine_1,2025-04-05 19:24:00,Not OK,25.99,80.84,252.13,7.51,1125.46
